,rates,mfcc,filter_bank,fraud,mfcc_mean,fbank_mean
10,22050,"[[  7.944556   -11.98102241  -3.74441659 ...  -7.14705978  -5.68129584
   -0.65388873]
 [  9.828675    -6.40649312  -9.7904852  ... -19.22192606  -4.1177744
    1.33511961]
 [ 11.31421522  -4.90774741  -7.7157555  ... -10.95355474   2.83079547
    5.97077706]
 ...
 [  8.9281883  -14.3870076    0.53839656 ...  -3.28670681  -9.86927604
    0.451937  ]
 [  8.90500484 -14.97472165  -0.09682753 ...  -9.13456769 -12.21286851
    0.96941471]
 [  8.37230523 -15.1496863    1.68557972 ...  -5.78257439  -9.06127289
    2.71331916]]","[[1.94571911 3.78168763 3.16102556 ... 4.81400027 5.07324907 5.21728632]
 [3.23825272 5.50498043 5.97569395 ... 5.76331941 5.98917191 6.02502435]
 [7.28529461 6.9896907  7.30757722 ... 6.9090157  7.27274427 7.63200506]
 ...
 [1.92306879 4.55922282 3.65467071 ... 6.04163608 6.7482052  6.88688995]
 [1.23934194 4.48796197 3.88829998 ... 6.04518397 6.68779975 6.96707625]
 [1.66524824 3.80322053 3.22061482 ... 5.38729408 6.09700009 6.64636454]]",1,-2.875842143768202,12.143375031548683
11,22050,"[[  8.49436995  -4.54331782  -6.69053659 ... -11.05855155   2.03421964
    3.56879574]
 [  9.85778343   3.58521774  -3.45674054 ... -22.72164524  -2.97878969
    4.11437093]
 [ 11.01291135   8.66726448  -0.16423367 ... -21.45111109   0.68056532
    9.94540271]
 ...
 [  9.20959799 -24.08705032  -4.612714   ...  -5.53857495  -9.90538913
   -0.16884863]
 [  9.14742124 -24.21670672  -5.38749234 ...  -8.46119841 -11.18399461
    0.30168078]
 [  8.52124919 -26.4602567   -4.85974354 ...  -4.56831441  -8.10550711
    3.92108   ]]","[[ 3.66830563  5.11422597  4.52089086 ...  4.80747508  4.80468849
   5.1664857 ]
 [ 5.18593878  7.53977533  7.69220663 ...  5.28584218  5.28017679
   5.55114325]
 [ 8.14982199  8.96543381  9.07023412 ...  5.8573384   6.06024971
   6.42723446]
 ...
 [ 0.27903064  2.10547845  2.17689019 ...  6.25702376  7.14941218
   7.42820327]
 [-0.19466849  1.97675655  2.23110702 ...  6.27493565  6.87336944
   7.29341596]
 [-0.22732521  0.90011126  0.94407378 ...  5.62876165  6.17103109
   6.57180229]]",1,-2.8894099788366447,12.451749199606404
12,22050,"[[ 11.22877788  11.24635908  14.52190651 ... -15.36971272  -6.16717474
   -1.577003  ]
 [ 12.32594452  15.51633103  18.34312387 ... -18.24346103  -5.91494415
    1.38431366]
 [ 14.73403352  24.27076652  14.77281662 ...  -5.58415494  -5.95949678
   -4.05623238]
 ...
 [  9.63986377 -13.24450812  -1.25551183 ...  -1.05834711 -10.91624423
    4.24377656]
 [  9.71060815 -14.2264631   -1.39169988 ...  -2.22877803 -12.5072254
    3.90988206]
 [  9.32171813 -13.37499796  -0.12079896 ...   0.55265372 -11.91029702
    4.14633148]]","[[ 7.77467525  9.63589829 10.05052093 ...  6.24777781  6.16977163
   6.59970028]
 [ 9.09643754 10.78211249 11.36223282 ...  6.13479789  6.25018415
   6.74020138]
 [12.2127718  12.67321327 13.73271861 ...  7.35484485  7.37233549
   7.68539684]
 ...
 [ 3.22433655  4.66078674  4.81136687 ...  6.38966809  7.11840531
   7.42921214]
 [ 2.74109816  4.55419598  4.7872423  ...  6.35278612  7.59929463
   7.81360498]
 [ 2.84021833  4.25525156  4.45371236 ...  5.88924782  7.28379642
   7.50095788]]",1,-2.523391761682119,12.166751824718567
13,22050,"[[  9.13079428   2.37154627  11.39464548 ... -13.03401939  -6.35974517
   -5.03809253]
 [ 10.21438798   8.67125822   7.39973423 ...  -7.41284202  -8.32383333
   -1.1211157 ]
 [ 13.58635604  23.74785241  24.72732611 ... -15.05141977  -9.81691424
    0.15483557]
 ...
 [ 10.22790993 -14.10517281  -3.97789765 ...   2.32574295 -13.91025026
    4.37238112]
 [ 10.10716992 -15.27257264  -2.52630624 ...  -0.69162354 -12.33956513
    3.36105603]
 [  9.7337892  -16.3114641   -3.05094203 ...  -4.25594405 -10.44680746
    1.28867889]]","[[ 5.413367    7.25896808  7.12624683 ...  5.693412    5.6498876
   5.91400671]
 [ 7.29508284  8.43139275  8.4908087  ...  5.86723558  5.76265437
   6.08534845]
 [10.16570531 12.00757933 12.58153147 ...  5.82147995  5.94427137
   6.63071275]
 ...
 [ 3.41742109  4.70243899  5.20548114 ...  6.51013688  7.84772531
   8.39696214]
 [ 3.43328217  4.60267885  5.01648621 ...  6.66582145  7.7242077
   8.35990708]
 [ 2.54317541  4.17373609  4.48762162 ...  6.47328581  7.37873696
   7.75832731]]",1,-3.2162445253606613,12.426262715585896
14,22050,"[[  8.83695926  -5.96882324  -8.36720033 ...  -6.33692497  -1.88664883
    0.10729443]
 [ 12.17297224   8.10250619 -17.2947952  ... -16.48224013  -6.79114067
   -2.80688961]
 [ 15.93930184  18.9969957  -21.7226878  ...  -4.92908399   1.57301253
   -3.18769149]
 ...
 [  8.21961183 -11.40564736  -1.38807759 ...  -9.19134638 -11.69058225
    1.0760829 ]
 [  8.0114565  -11.58560773  -0.07860219 ...  -7.16934699 -12.28095581
    2.23045596]
 [  7.15715409 -12.60952136  -0.20892515 ...  -2.5480957  -12.89727459
    2.76645532]]","[[ 3.92737778  4.48132568  4.05247312 ...  5.58974986  5.11495144
   5.40184033]
 [ 6.49897947  8.27582434  8.3619206  ...  6.75970828  6.43104992
   6.49704572]
 [12.21664997 12.59605032 12.67872227 ...  9.1670806   9.22034661
   8.27622857]
 ...
 [ 1.65639449  4.22185033  3.4917565  ...  5.30213101  5.71767116
   6.11986596]
 [ 1.82801245  3.96594451  3.30791705 ...  5.20838779  5.33250825
   6.06968141]
 [ 1.33044737  2.56672153  2.49533709 ...  4.42701669  4.29550207
   5.54018881]]",1,-2.9508554560994673,12.263435570205658
15,22050,"[[  8.87258454 -13.47213195  -4.86783674 ...  -9.0232286   -3.83113323
    0.97393513]
 [ 10.86327149  -7.28244672 -10.40811502 ... -13.76480826   3.8263129
    6.92400307]
 [ 12.29135671  -2.44244518  -6.25706219 ... -17.55183425   2.52964963
    6.77238947]
 ...
 [  9.59179313 -12.69407006  -0.16411292 ...  -3.06697329  -7.90346821
    2.46419332]
 [  9.69035918 -12.66185443  -2.3199389  ...  -9.9126252  -11.89772642
    0.31972857]
 [  9.31997377 -13.41691948   0.74393221 ...  -4.25394165  -9.61076441
    5.66949434]]","[[2.75243438 4.42177892 3.97598486 ... 5.98865715 5.71527944 5.83660405]
 [4.52334077 6.17154442 6.46423008 ... 6.77501641 6.3799657  6.43082517]
 [7.9004135  8.65417972 8.76987474 ... 7.58398781 7.21326695 7.4654053 ]
 ...
 [3.35029533 4.97870695 4.82097053 ... 6.37452429 7.45630497 7.68878583]
 [2.06516098 5.21843698 5.08543729 ... 6.50327781 7.38992394 7.63766243]
 [3.11974958 4.52390408 4.38539231 ... 6.14212207 7.2572099  7.43144938]]",1,-3.0892597745373425,12.242920777244269
16,22050,"[[  7.9688198  -11.78412858  -2.70482129 ... -10.98273595  -2.42077301
   -4.38632617]
 [  9.87088641  -6.06684614  -8.8544688  ... -14.94065645  -6.38549731
   -0.23739668]
 [ 11.173515    -3.38206164  -5.6728227  ...  -7.58521878   2.09038297
    1.90693957]
 ...
 [  8.83639828 -12.14440174  -3.46768504 ...  -9.49275316  -8.53213274
    0.96261311]
 [  8.76596616 -11.52057056  -3.21691019 ...  -9.31476012  -8.57343159
    2.65909219]
 [  7.92338352 -12.92335524  -1.40809619 ...  -8.17197405  -5.51339605
    3.19951158]]","[[1.88650796 3.9811152  3.33495481 ... 5.08603633 5.11652777 5.25615323]
 [3.40543279 5.72780295 6.19936908 ... 5.87161422 6.1213629  6.0737831 ]
 [7.38022017 7.31539174 7.42700959 ... 6.8173317  7.21057556 7.63293837]
 ...
 [2.39129873 4.03772126 4.12952728 ... 5.8238956  6.24461321 6.52406753]
 [2.54445243 4.0560935  4.06959083 ... 5.65763782 6.29630112 6.56607899]
 [1.8039153  2.97959773 2.83227269 ... 5.1356258  5.47568248 5.93185597]]",1,-3.0854091975839,12.488397415873946
17,22050,"[[  8.45748842 -10.6098713   -3.00853914 ... -10.60879809  -4.08692572
   -3.33455297]
 [ 10.06271395  -7.18103982  -8.34809266 ...  -3.13106276  -2.56858523
    0.85270057]
 [ 12.80055513   1.43479806  -2.9035517  ... -27.02372534  -1.47031525
    7.077464  ]
 ...
 [ 10.38093527 -15.87913948  -4.34586909 ...  -4.03511175 -10.42352567
    3.73990384]
 [ 10.39396238 -15.41278469  -5.97653541 ... -10.06067841 -10.07670498
    0.84287493]
 [  9.86865142 -15.41834019  -3.00480678 ...  -8.63166055  -4.04970531
    3.30758   ]]","[[ 2.5721346   4.5749782   4.22337013 ...  5.56587137  5.38299298
   5.5233122 ]
 [ 4.99172464  5.7870853   5.73909592 ...  6.27659657  6.31894023
   6.33328891]
 [ 8.02036915  9.94962503 10.70222245 ...  7.50040776  7.43977375
   7.85581521]
 ...
 [ 3.14787326  4.9947218   4.79724003 ...  6.86667069  7.95575395
   8.57857918]
 [ 2.25487353  5.2086486   4.96717565 ...  7.0545436   7.6850399
   8.45676671]
 [ 3.09798681  4.52629103  4.28172179 ...  6.66324625  7.40400222
   7.92243936]]",1,-3.160740474745287,12.747373528747332
18,22050,"[[  7.47423301 -13.6410775   -2.91187109 ... -12.25681407  -8.82702272
    0.24482553]
 [  8.70132364  -8.68716334  -7.77100513 ... -15.21976312  -6.26552936
    6.29190387]
 [  9.75771898  -5.09490033  -3.77815737 ... -10.28664922  -0.16606935
    6.54065521]
 ...
 [  8.94068131 -12.25534222   0.21018341 ...  -3.57413611 -11.20392499
    2.22908863]
 [  9.0070173  -11.1299731   -0.97015268 ...  -5.21546831 -13.13135237
    1.48962687]
 [  8.62286895 -12.03788231   2.00373529 ...  -2.44529987 -12.36983727
    2.91746292]]","[[1.07275376 3.35313451 2.74918387 ... 4.6506326  4.7490817  4.90268732]
 [1.92408631 4.49759087 4.44380368 ... 5.0534461  5.1930886  5.41561516]
 [5.96913345 6.26770384 5.81708094 ... 5.85156768 5.96297541 6.46680327]
 ...
 [3.05712011 4.67020862 4.26605821 ... 5.80754579 6.6789959  6.96466349]
 [2.64587258 4.86619773 4.47778402 ... 5.70805003 6.64335941 6.93843552]
 [2.65942548 4.35689189 3.89818511 ... 5.37227726 6.53025053 6.83876748]]",1,-2.8227921326275567,12.112477480458267
19,22050,"[[  8.28879067 -11.27497836  -2.94881116 ...  -9.38034199  -6.44701551
   -0.9746638 ]
 [ 10.21993051  -5.9286008  -10.12453411 ... -11.87288394  -0.576346
   -0.96659561]
 [ 11.79916133  -2.26887785  -4.37618133 ... -11.18255309  -1.55254635
    5.63141967]
 ...
 [  8.55586718 -12.22305566  -1.70871333 ...  -7.58028491  -8.36846747
    2.47881622]
 [  8.52558175 -13.55069737  -0.23228482 ...  -5.47482999  -9.44822379
    2.81978227]
 [  8.23032537 -14.81750247   0.41305231 ...  -8.05419943  -8.54679048
    0.73907909]]","[[2.30179111 4.40932484 3.83120697 ... 5.42399824 5.31018818 5.47957481]
 [3.41039487 5.92980074 6.32729957 ... 6.1379903  6.31379034 6.25059507]
 [7.3513199  8.14515259 8.60085499 ... 7.17745501 7.60265095 8.06284287]
 ...
 [2.45229671 4.05272898 3.72877792 ... 5.49064276 6.22511687 6.56545889]
 [2.52732147 3.9687682  3.50515294 ... 5.38716114 6.28206412 6.58599441]
 [1.72744322 3.44194156 3.15994867 ... 5.33871675 6.2393603  6.31942   ]]",1,-2.818564831996313,12.081257715829183
20,22050,"[[  8.74815972  -5.30281568  -9.30321191 ...  -4.86003803   0.6873535
    0.60625466]
 [ 12.69730886  11.47150757 -20.6045532  ... -16.39834506  -3.68612824
   -1.9870431 ]
 [ 14.27802739  12.39370167 -21.15443487 ... -15.34201024  -1.63560125
   -2.60205338]
 ...
 [  9.21805897 -14.57968106   0.08698298 ...  -8.28180738 -10.74827926
    3.71696887]
 [  8.94949601 -15.92190721   0.33315964 ...  -8.53623206 -14.04876614
    4.3633188 ]
 [  8.12171096 -15.69019472   3.43065975 ...  -5.13825283 -10.29423776
    9.45388676]]","[[ 3.98113074  4.29958362  3.8783433  ...  5.26057636  4.99913306
   5.1757845 ]
 [ 6.90841907  8.67789309  8.8484097  ...  6.57021488  6.07565909
   5.859221  ]
 [ 8.84965207  9.98378473 10.56301007 ...  7.60033716  7.5838487
   7.70774943]
 ...
 [ 1.87857359  4.80588153  4.00007535 ...  6.30451014  6.87874239
   7.20786037]
 [ 1.22967009  4.27801097  3.80168649 ...  5.88902759  6.55052645
   7.29697673]
 [ 2.13674258  3.199043    2.86820383 ...  4.89967319  5.98575792
   6.69311248]]",1,-2.976061642195031,12.63630843463871
21,22050,"[[  8.84085259 -18.67772293   1.91941102 ...  -6.00404371  -9.13837592
   -2.13191726]
 [  9.41142406 -20.81185239  -2.63441242 ...  -8.5956884   -4.39591336
    5.17910455]
 [ 10.34188047 -24.44172119  -7.8798454  ... -11.72226967  -0.42877227
   -0.12884822]
 ...
 [  8.69550417 -13.03016749   0.74306908 ...  -9.95596368 -11.09211143
    0.40440714]
 [  8.6987969  -12.97837285   1.15389674 ...  -9.75963451 -10.35981435
    1.37039317]
 [  8.0678546  -12.96269302   1.88203102 ...  -8.66977693  -9.59008449
    2.3210127 ]]","[[1.81933724 2.89986967 3.77319621 ... 6.28257819 6.42096421 6.74236569]
 [2.5139726  3.06417395 3.20433901 ... 6.58578834 6.8048439  7.17454478]
 [1.92431863 2.51288112 3.35695703 ... 7.20467908 7.64778465 8.2388093 ]
 ...
 [1.60170565 4.80269437 4.03494788 ... 5.93250985 6.36480056 6.6854239 ]
 [1.90675656 4.82532103 4.10718881 ... 5.86596206 6.26496435 6.60933115]
 [1.71960215 4.00645859 3.60834001 ... 5.40881935 5.61497773 5.63401089]]",1,-2.962135006256249,10.954924761943419
22,22050,"[[  8.42082707 -10.27365149  -3.50690735 ... -11.38190057  -2.5411173
   -3.44561199]
 [ 10.88282663  -5.42300593 -12.40442652 ...  -7.56559628   0.71127309
    0.57628702]
 [ 13.08161985   0.16718803  -9.11006488 ... -14.00260619  -3.49951529
    3.47916899]
 ...
 [ 11.22754578 -23.20429461  -3.63674989 ...  -4.78640797 -14.50307094
    1.86432067]
 [ 10.95899894 -22.8518832   -3.71545587 ...  -5.90139624 -10.88253512
    2.94678023]
 [ 10.27001862 -24.70217999  -1.94771238 ...  -4.45362513 -13.47250459
    4.71779411]]","[[ 2.65806368  4.7080832   4.06228325 ...  5.36148165  5.4897046
   5.60935927]
 [ 4.77927869  6.24572101  6.42086788 ...  6.73607151  6.72548902
   6.74551609]
 [ 7.61098885  9.27717786 10.25583078 ...  7.7108325   8.33811932
   8.72271523]
 ...
 [ 1.92022369  4.79104796  4.20393926 ...  8.00378988  9.16927237
   9.62371889]
 [ 1.89839404  4.4475652   4.27200578 ...  7.86416211  8.55466466
   9.24863345]
 [ 1.96745811  3.33342414  3.35026592 ...  7.14790718  7.70856592
   8.73371139]]",1,-2.6996482407577567,12.370283754175835
